created_at,id,username,user_joined,user_location,user_bio,follower_count,text,country_code,place,coordinates
Mon Dec 30 21:11:32 +0000 2019,1211756730616561670,Nach not Notch,2011,"Los Angeles, CA",i like food,382,"I might regret this in more than one way... 
For the first stream of 2020 we'll be heading out into the wilds and navigate through a mangrove forest and... Maybe we'll get to see some 🐬? Hopefully I won't fall off my boat 🤭 https://t.co/wqi6OGia8L",,,
Mon Dec 30 20:11:45 +0000 2019,1211741686612709376,♑️ NAIDU ✨,2012,Hyderabad Telangana India 🇮🇳,Be — Don't Try To Become,19259,"India State of Forest Report, #ISFR2019 : 

🌳 Mangrove cover in the country is 4,975 sq km,which is 0.15% of the country’s total geographical area.There has been a net increase of 54 sq km compared to 2017. https://t.co/nTXIyuL5ng",,,
Mon Dec 30 18:01:01 +0000 2019,1211708784902623232,Shwetal Shah,2011,India,"Technical Adviser, Dept of #Climate Change, #Gujarat. Believe in Indian values, ethics and lifestyle. Interested in #Jainism, #Philately. Views are personal.",363,"Government of India released Forest report 2019.https://t.co/CaYj1eBXEv
#Gujarat is ranking first in adding area under #Mangrove cover. #Jamnagar has added the highest area under Mangrove. @mpparimal @DhanrajNathwani @mahitijamnagar1 @CMOGuj @drrajivguptaias https://t.co/W3hQZ8zLip https://t.co/4MmW8HL0XW","('IN',)","Ahmadabad City, India","[[[72.436739, 22.923256], [72.436739, 23.104662], [72.703725, 23.104662], [72.703725, 22.923256]]]"
Mon Dec 30 17:40:59 +0000 2019,1211703743907008513,vinay shreshtha,2010,"पश्चिम बंगाल, भारत",,0,'JOURNEY ABOUT TO START FOR THE MANGROVE FOREST' https://t.co/mvxfNFJ94N,,,
Mon Dec 30 17:24:12 +0000 2019,1211699521865965568,vinay shreshtha,2010,"पश्चिम बंगाल, भारत",,0,"'ABOUT TO ENTER BICHITRAPUR MANGROVE FOREST,ODISHA' https://t.co/57KP2lCm8a",,,
Mon Dec 30 17:07:42 +0000 2019,1211695366342615041,Vacharapan Mongkalee,2014,,,95,"20191230
#TIKbyStarlight - lifting service - #YesWeDo

#StarlightTravelTour - colorful trips to sea, underwater, mangrove forest, lowland forest, hill, temple, scenic view, adventure trips around #Aonang #Krabi… https://t.co/gUWuFJQg2l",,,
Mon Dec 30 16:52:59 +0000 2019,1211691663346655232,PIB in Odisha,2017,,"Official Twitter account of Press Information Bureau, Government of India, Bhubaneswar, Odisha.",2200,"The Mangrove ecosystems are unique &amp; rich in biodiversity and they provide numerous ecological services. 

As per India State of Forest Report (ISFR), Top three states showing mangrove cover increase are Gujarat (37 sq km) followed by Maharashtra (16 sq km) &amp; #Odisha (8 sq km). https://t.co/bbhkpTX6eU",,,
Mon Dec 30 15:49:07 +0000 2019,1211675593252593666,Pranil Suryawanshi,2010,Mumbai,,24,"https://t.co/Zj6F1Pq3FG

Congratulations to all Government bodies ,  citizens of Bharat and Nature lover 

Love the Mother Nature",,,
Mon Dec 30 13:14:05 +0000 2019,1211636575831855104,PIB India,2010,New Delhi,"Press Information Bureau. Nodal agency for communicating to media on behalf of  #Government of #India. Follow for official #GoI updates.
In Hindi: @pibhindi",1753468,"#ISFR2019 is the 16th report in the series. The report provides information on forest cover, tree cover, mangrove cover, growing stock inside and outside the forest areas, carbon stock in India’s forests

#GreenIndia https://t.co/cuwraHFOQm",,,
Mon Dec 30 12:39:30 +0000 2019,1211627872743346176,Faye McNeill,2013,"New York, NY","@Columbia professor, chemical engineer, editor, mom. Atmospheric chemistry, air pollution @aqtoolbox, climate. 🌤️🌇🌏👩‍🔬💪💞 Tweets mine.",2895,"@nrm_ju @AqToolbox @bose_institute And here is a more recent article by Prof. Chatterjee and his @bose_institute colleagues: ""Formation, transformation, and removal of aerosol over a tropical mangrove forest"" https://t.co/DL8rqDM4VW",,,
